央视频道,#genre#
CCTV-1,http://156.238.248.80:8880/play/1.m3u8$订阅源
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8$订阅源
CCTV-1,http://125.43.247.81:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://106.115.27.50:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://111.167.32.217:5002/rtp/225.1.1.120:5002$天津市联通
CCTV-1,http://114.95.80.29:9001/rtp/233.18.204.52:5140$上海市电信
CCTV-1,http://113.120.108.132:4000/rtp/239.21.1.120:5002$山东电信
CCTV-1,http://115.171.216.84:4000/rtp/225.1.8.1:8008$北京市电信
CCTV-1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://180.119.69.98:8800/rtp/239.49.8.19:9614$江苏电信
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8$订阅源
CCTV-2,http://106.115.27.50:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://113.120.108.132:4000/rtp/239.21.1.151:5002$山东电信
CCTV-2,http://115.171.216.84:4000/rtp/225.1.8.2:8084$北京市电信
CCTV-2,http://180.119.69.98:8800/rtp/239.49.8.50:9802$江苏电信
CCTV-2,http://111.193.239.94:8888/rtp/239.3.1.60:8084$北京市联通
CCTV-2,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源
CCTV-2,http://125.43.247.81:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://111.167.32.217:5002/rtp/225.1.1.133:5002$天津市联通
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8$订阅源
CCTV-3,http://156.238.248.80:8880/play/3.m3u8$订阅源
CCTV-3,http://1.24.39.180:9003/hls/3/index.m3u8$订阅源
CCTV-3,http://106.115.27.50:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://111.167.32.217:5002/rtp/225.1.1.158:5002$天津市联通
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8$订阅源
CCTV-3,http://113.120.108.132:4000/rtp/239.21.2.45:5002$山东电信
CCTV-3,http://180.119.69.98:8800/rtp/239.49.8.74:8000$江苏电信
CCTV-3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://125.43.247.81:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://107.150.60.122/live/cctv4hd.m3u8$订阅源
CCTV-4,http://107.150.60.122/live/cctv4k.m3u8$订阅源
CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8$订阅源
CCTV-4,http://106.115.27.50:9901/tsfile/live/faacts/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://111.167.32.217:5002/rtp/225.1.1.150:5002$天津市联通
CCTV-4,http://115.171.216.84:4000/rtp/225.1.8.4:8092$北京市电信
CCTV-4,http://113.120.108.132:4000/rtp/239.21.1.154:5002$山东电信
