🕘️更新时间,#genre#
2026-03-02 06:59:20,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv1

央视频道,#genre#
CCTV-1,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv1
CCTV-1,http://bigy.timwin.top:5400/udp/239.3.1.129:8008
CCTV-2,http://182.114.50.84:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://119.4.35.146:4022/rtp/239.94.2.35:5140
CCTV-2,http://111.167.32.217:5002/rtp/225.1.1.133:5002
CCTV-2,http://183.185.237.60:8001/rtp/226.0.2.154:9144
CCTV-3,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv3
CCTV-4,http://bigy.timwin.top:5400/udp/239.3.1.105:8092
CCTV-5,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv5
CCTV-5+,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv5p
CCTV-5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV-6,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv6
CCTV-6,http://125.43.240.161:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://183.188.159.48:6000/rtp/226.0.2.159:9184
CCTV-8,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv8
CCTV-8,http://1.58.225.88:8886/rtp/229.58.190.63:5000
CCTV-9,http://121.226.125.206:7777/rtp/239.49.8.53:9814
CCTV-10,http://125.43.240.161:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://113.120.108.132:4000/rtp/239.21.1.155:5002
CCTV-10,http://119.4.35.146:4022/rtp/239.94.0.10:5140
CCTV-10,http://yanshifen.top:8889/udp/239.77.0.134:5146
CCTV-10,http://yanshifen.top:8889/udp/239.77.1.113:5146
CCTV-11,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv11
CCTV-12,http://114.238.59.184:4000/rtp/239.49.8.55:9822
CCTV-13,http://nn.7x9d.cn/mk.php?ip=223.76.131.67:8014&id=cctv13
